gt,set
The metabolism of DB00455 can be decreased when combined with DB00608.,training
The metabolism of DB00490 can be decreased when combined with DB09039.,training
The metabolism of DB01186 can be decreased when combined with DB01367.,training
The metabolism of DB00655 can be decreased when combined with DB01232.,training
The metabolism of DB01192 can be decreased when combined with DB00254.,training
The metabolism of DB01192 can be decreased when combined with DB00257.,training
The metabolism of DB01142 can be decreased when combined with DB00503.,training
The metabolism of DB00883 can be decreased when combined with DB00091.,training
The metabolism of DB01142 can be decreased when combined with DB00501.,testing
The metabolism of DB00266 can be decreased when combined with DB01095.,testing
The metabolism of DB06203 can be decreased when combined with DB00951.,testing
The metabolism of DB00440 can be decreased when combined with DB00549.,training
The metabolism of DB09183 can be decreased when combined with DB00752.,validation
The metabolism of DB00831 can be decreased when combined with DB00176.,validation
The metabolism of DB00852 can be decreased when combined with DB09238.,training
The metabolism of DB00843 can be decreased when combined with DB12332.,training
The metabolism of DB01181 can be decreased when combined with DB09198.,training
The metabolism of DB01002 can be decreased when combined with DB00661.,validation
The metabolism of DB00608 can be decreased when combined with DB00268.,training
The metabolism of DB01223 can be decreased when combined with DB08865.,validation
The metabolism of DB00883 can be decreased when combined with DB00320.,training
The metabolism of DB06403 can be decreased when combined with DB00661.,validation
The metabolism of DB06737 can be decreased when combined with DB00359.,training
The metabolism of DB01012 can be decreased when combined with DB01149.,testing
The metabolism of DB00518 can be decreased when combined with DB00224.,testing
The metabolism of DB00361 can be decreased when combined with DB00932.,training
The metabolism of DB00622 can be decreased when combined with DB09291.,training
The metabolism of DB01628 can be decreased when combined with DB00622.,training
The metabolism of DB00910 can be decreased when combined with DB00199.,training
The metabolism of DB09076 can be decreased when combined with DB00264.,training
The metabolism of DB00910 can be decreased when combined with DB00196.,training
The metabolism of DB09076 can be decreased when combined with DB00268.,training
The metabolism of DB08875 can be decreased when combined with DB09167.,validation
The metabolism of DB00624 can be decreased when combined with DB05521.,training
The metabolism of DB00384 can be decreased when combined with DB06290.,validation
The metabolism of DB01621 can be decreased when combined with DB00338.,validation
The metabolism of DB00448 can be decreased when combined with DB00544.,training
The metabolism of DB00602 can be decreased when combined with DB09065.,training
The metabolism of DB01621 can be decreased when combined with DB00333.,testing
The metabolism of DB00313 can be decreased when combined with DB00359.,training
The metabolism of DB01050 can be decreased when combined with DB01241.,testing
The metabolism of DB12070 can be decreased when combined with DB01601.,training
The metabolism of DB00934 can be decreased when combined with DB00705.,testing
The metabolism of DB08922 can be decreased when combined with DB09074.,training
The metabolism of DB00195 can be decreased when combined with DB01075.,testing
The metabolism of DB00318 can be decreased when combined with DB08865.,training
The metabolism of DB00320 can be decreased when combined with DB01601.,training
The metabolism of DB00910 can be decreased when combined with DB00227.,training
The metabolism of DB01392 can be decreased when combined with DB00208.,training
The metabolism of DB01392 can be decreased when combined with DB00203.,validation
The metabolism of DB00738 can be decreased when combined with DB00379.,testing
The metabolism of DB00933 can be decreased when combined with DB00482.,training
The metabolism of DB01136 can be decreased when combined with DB00199.,training
The metabolism of DB01179 can be decreased when combined with DB12332.,training
The metabolism of DB09068 can be decreased when combined with DB00091.,training
The metabolism of DB00744 can be decreased when combined with DB00320.,testing
The metabolism of DB00784 can be decreased when combined with DB00169.,training
The metabolism of DB00744 can be decreased when combined with DB00322.,validation
The metabolism of DB00169 can be decreased when combined with DB01211.,training
The metabolism of DB00988 can be decreased when combined with DB00213.,training
The metabolism of DB00624 can be decreased when combined with DB01319.,testing
The metabolism of DB00904 can be decreased when combined with DB09198.,training
The metabolism of DB00622 can be decreased when combined with DB01601.,training
The metabolism of DB00988 can be decreased when combined with DB00215.,training
The metabolism of DB01104 can be decreased when combined with DB01232.,validation
The metabolism of DB00869 can be decreased when combined with DB12332.,validation
The metabolism of DB04898 can be decreased when combined with DB09238.,validation
The metabolism of DB00214 can be decreased when combined with DB05219.,testing
The metabolism of DB06770 can be decreased when combined with DB01259.,training
